airTemp,waterTemp,salinity,pH,turbidity,sunRadiation,rainfall,rainfall24,rainfall48,rainfall72,windDirection,windStrength,UBB/37,UBB/22,EC,EN,PA,SA,CP,numBathers,numChildren,numDogs,numSeagull,numPigeons,beachUnclean,seaSurfaceUnclean,wellspring,coasalSorce,seaTurbidity
27,19,20.94,7.85,0.7,238,0,1.5,2.5,4.8,22,0.6,56,480,120,36,20,3,13,20,0,0,2,0,1,0,2,0,0
27,19,20.75,7.93,1.1,238,0,1.5,2.5,4.8,22,0.6,280,1600,110,39,10,1,17,20,0,0,0,0,1,0,0,0,0
27,19,27.69,8.01,0.9,238,0,1.5,2.5,4.8,22,0.6,400,560,28,14,25,2,3,28,0,0,0,0,0,0,0,0,0
27,19,28.09,8.04,0.7,238,0,1.5,2.5,4.8,20,0.3,80,780,20,27,30,0,1,28,0,0,0,0,0,0,0,0,0
20,16,21.85,7.93,0.5,0,0,0,2.5,4.8,30,0.3,80,1440,50,12,10,10,10,0,0,0,0,0,0,0,0,0,0
20,18,33.05,7.95,0.4,0,0,0,2.5,4.8,30,0.3,48,400,40,80,8,2,2,0,0,0,0,0,0,0,0,0,0
20,17,23.39,7.93,0.6,0,0,0,2.5,4.8,30,0.3,28,560,180,11,15,5,12,0,0,0,0,0,0,0,0,0,0
19,18,29.52,7.93,0.7,0,0,0,2.5,4.8,32,0.9,40,560,180,30,50,100,5,0,0,0,0,0,0,0,0,0,0
19,18,31.94,7.92,0.3,0,0,0,2.5,4.8,32,0.9,84,720,100,102,20,15,7,0,0,0,0,0,0,0,0,0,0
20,16,17.83,7.86,0.7,0,0,0,2.5,4.8,32,0.6,70,720,40,12,1,0,2,0,0,0,0,0,0,0,2,1,0
20,18.5,32.49,7.99,0.6,0,0,0,2.5,4.8,32,0.6,84,880,30,11,5,0,1,0,0,0,0,0,0,0,0,0,0
20,17,21.7,7.94,1,0,0,0,2.5,4.8,32,0.6,11,360,130,37,15,0,7,0,0,0,0,0,0,0,0,0,0
20,18,35.63,8.03,0.7,0,0,0,2.5,4.8,0,0,80,880,52,17,20,25,1,0,0,0,0,0,0,0,0,0,0
20,18,34.29,8,1,0,0,0,2.5,4.8,0,0,50,400,48,112,10,0,0,8,0,0,0,0,0,0,0,0,0
20,15,15.37,7.93,0.6,611.9,0,0,2.5,4.8,20,0.2,80,180,70,7,2,3,8,0,0,0,0,0,0,0,0,0,0
19,17,26.85,7.9,1.5,626.08,0,0,2.5,4.8,20,0.2,15,800,100,13,10,5,12,0,0,0,40,50,0,0,1,0,0
19,16,28.9,7.83,0.9,636,0,0,2.5,4.8,20,0.2,46,800,130,32,8,0,13,0,0,0,10,0,0,0,0,0,0
20,17,29.81,7.93,0.9,644.51,0,0,2.5,4.8,26,0.1,18,480,65,15,2,0,4,0,0,0,0,0,0,0,0,0,0
20,17,29.52,7.95,0.8,654.44,0,0,2.5,4.8,26,0.1,19,640,100,54,30,8,15,0,0,0,0,0,1,0,0,0,0
21,16,24.88,7.92,0.6,920.11,0,0,2.5,4.8,20,0.5,40,160,25,11,3,0,5,0,0,0,0,0,1,0,1,2,0
21,18,35.53,8.05,1.7,894.26,0,0,2.5,4.8,20,0.5,60,560,7,114,0,5,10,0,0,0,8,0,0,0,3,1,0
22,17.5,30.4,7.92,2.6,877.02,0,0,2.5,4.8,20,0.5,14,640,35,51,5,0,6,0,0,3,20,0,1,0,0,0,0
24.5,19,35,8.05,1.1,859.79,0,0,2.5,4.8,18,0.9,20,300,5,2,1,3,1,0,0,0,0,0,0,0,0,0,0
24,19,30.65,8.03,1,846,0,0,2.5,4.8,18,0.9,35,460,9,24,0,3,1,0,0,0,0,0,1,0,0,0,0
25,18,35.49,8.08,0.8,281.57,0,0,2.5,4.8,4,1.4,50,160,40,5,0,0,7,0,0,1,2,0,0,0,2,3,0
25,18,34.23,8.07,0.5,299.79,0,0,2.5,4.8,8,0.9,10,128,65,6,0,0,0,9,0,0,3,0,0,0,1,0,0
25,19,26.42,8.11,0.7,305.87,0,0,2.5,4.8,8,0.9,22,460,260,116,100,0,8,10,0,0,0,0,1,0,0,0,0
25,19,32.56,8.09,0.7,311.94,0,0,2.5,4.8,8,0.9,16,130,0,0,5,0,3,7,0,0,0,0,0,0,0,0,0
25,19,24.52,8.04,0.8,442.01,0,0,2.5,4.8,8,0.9,840,1440,14,27,10,0,5,11,0,0,0,0,0,0,0,0,0
25,18.5,19.59,7.88,1.2,40,0,0,1.5,2.5,22,0.9,120,2001,15,128,3,3,22,3,0,0,7,0,0,4,1,1,0
25,19,24.49,7.89,0.9,40,0,0,1.5,2.5,22,0.9,400,2001,270,68,4,2,19,9,0,0,1,0,0,0,0,0,0
25,21,27.24,8,0.9,40,0,0,1.5,2.5,22,0.9,480,2001,100,27,23,5,13,16,1,0,0,0,0,0,0,0,0
25,22.5,28.79,8,0.7,40,0,0,1.5,2.5,22,0.9,100,1600,9,2,1,4,5,8,0,0,0,0,1,2,0,0,0
25,22.5,29.12,8.01,1.5,40,0,0,1.5,2.5,22,0.9,50,1340,2,26,0,2,1,32,0,0,0,0,0,0,0,0,0
20,17,24.54,7.91,0.8,0,0,0,0,2.5,30,0.2,200,1248,100,30,6,1,6,0,0,0,0,0,1,0,3,1,0
